"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,Inicio,Fin,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"Coste por Application","All Leads","Coste por All Leads","event registration","Coste por event registration",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Coste por ThruPlay",Objetivo,"Inicio del informe","Fin del informe"
RMTEU_Spain_Global_Meta_Conversion_AI,Ad3,"New Sales Ad - Copy 2","2024-12-17 - 2024-12-23",2024-04-12,2024-04-30,520,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_APAC,01_Prospecting_Broad_APAC,06_Image_APAC_NewProgram2,"2024-12-17 - 2024-12-23",2025-06-24,"En curso",109,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests_Python,Video_AllPlacements_Static_Marta_July2024,"2024-12-17 - 2024-12-23",2024-07-26,"En curso",50,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_AISchool,"LAA - Banners","AISchool_Visuals - Copy","2024-12-17 - 2024-12-23",2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_AI,Ad4,"New Sales Ad - Copy 2","2024-12-17 - 2024-12-23",2024-05-08,2024-05-30,1509,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_ABO_FinancingOptions_BCAS,05_Prospecting_Interests,02_Video_BCAS_Nelson,"2024-12-17 - 2024-12-23",2024-12-30,"En curso","Con el presupuesto del conjunto de anuncios",,68,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_ML,DataAnalysis,DataScience_EN_Prospecting_AllPlacements_Video,"2024-12-17 - 2024-12-23",2024-02-12,2024-02-28,1306,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_ES_ABO,"Prospecting_FBAudience_Interests_Computer science",Image_AllPlacements_Carrousel,"2024-12-17 - 2024-12-23",2024-06-17,"En curso","Con el presupuesto del conjunto de anuncios",,100,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_ML,DataMining,DataScience_EN_Prospecting_AllPlacements_Video,"2024-12-17 - 2024-12-23",2024-05-07,2024-05-19,686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_Tech_Lab,01_Prospecting_Broad_Tech_Lab,02_Video_Master_ElisaF2F,"2024-12-17 - 2024-12-23",2025-06-13,"En curso",195,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ML,Video_AllPlacements_Static_Ellie_AI,"2024-12-17 - 2024-12-23",2024-06-06,2024-07-31,1654,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_ES_ABO,Prospecting_FBAudience_Interests_IT,Video_AllPlacements_Static,"2024-12-17 - 2024-12-23",2024-05-31,"En curso","Con el presupuesto del conjunto de anuncios",,100,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_LastCall,Video_AllPlacements_Static,"2024-12-17 - 2024-12-23",2024-08-29,"En curso",17,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Spain_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_Data - Copy","2024-12-17 - 2024-12-23",2024-04-29,2024-05-14,"Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_AISchool,"LAA - Banners",AISchool_AIProducts,"2024-12-17 - 2024-12-23",2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Conversion_ML,Analytics,"DataScience_EN_Prospecting_AllPlacements_Video - Copy","2024-12-17 - 2024-12-23",2024-03-07,2024-03-30,1807,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
RMTEU_Spain_Global_Meta_Prospecting_MKT_EN_CBO,Prospecting_Interests,Image_AllPlacements_Static_3,"2024-12-17 - 2024-12-23",2024-11-03,"En curso","Con el presupuesto del conjunto de anuncios",,27.68,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-17,2024-12-23
