"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"All Leads",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Reproducciones de vídeo",ThruPlays,"Coste por ThruPlay","ThruPlay / Video Plays Conversion Rate","Reproducciones de vídeo de 3 segundos","Coste por reproducción de video de 3 segundos","Reproducciones de vídeo hasta el 50 %","Visitas a la página de destino","Porcentaje de visitas a la página de destino por clics en el enlace","Coste por visita a la página de destino","Landing page views / Link clicks Conversion Rate","Inicio del informe","Fin del informe"
RMTEU_Spain_Global_Meta_Prospecting_ABO_FinancingOptions_BCAS,Prospecting_Interests,Video_AllPlacements_Static_FinancingOptions_Elisa,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,58,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_WD_ES,jh+cd_Feed,jh+cd1feed,"2025-06-16 - 2025-06-22",27,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_WD_ES,jh+cd_stories,jh+cd2stories,"2025-06-16 - 2025-06-22",27,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_EmbeddedForms_Masters,01_Prospecting_Broad_Interview,01_Video_Interview_NoQ,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,78,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ES_Becas,Prospecting,Becas_Elisa_AllCourses_ES_Prospecting_AllPlacements_Video,"2025-06-16 - 2025-06-22",20,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_DA,"LAA - Stories","New Sales Ad","2025-06-16 - 2025-06-22",15,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_TypeformQualified_Masters,01_Prospecting_Broad,03_VideoYoEstudieInformatico,"2025-06-16 - 2025-06-22",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ES,Others,Data,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,33,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_MKT_EN_CBO,Prospecting_LLA,Image_02,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,27.68,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_WD_ES,"Web Development_Feed",Webdevelopmentfeed2,"2025-06-16 - 2025-06-22",27,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_Tech_Lab,01_Prospecting_Broad_Tech_Lab,01_Video_Master_InterviewCY,"2025-06-16 - 2025-06-22",150,Diario,"Con el presupuesto de la campaña",,235.39,Application,5,47.078,5,13,26749,32639,126,0.38604124,1.8681746,7.21192438,30133,2672,0.08809506,0.08867355,12100,0.01945372,2481,94,74.6031746,2.50414894,0.74603175,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ML,DataMining,"DataScience_EN_Prospecting_AllPlacements_Video - Copy","2025-06-16 - 2025-06-22",686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_DA,Prospecting,"New Sales Ad","2025-06-16 - 2025-06-22",20,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Leads_EN_UX_ShortCourse,"Web Design","New Sales Ad - Copy","2025-06-16 - 2025-06-22",1500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests_DigitalData,Video_AllPlacements_Static_Ellie_ML,"2025-06-16 - 2025-06-22",2485,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_CBO_BackToSchool_2024,Prospecting_LLA_QApps_1,Image_AllPlacements_Static_LuisCamarero,"2025-06-16 - 2025-06-22",105,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,ML,"AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy 3","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_Tech_Scale,01_Prospecting_Broad_Tech_Scale,02_Video_Master_ElenaTour,"2025-06-16 - 2025-06-22",186,Diario,"Con el presupuesto de la campaña",,416.72,Application,3,138.90666667,3,9,14081,19323,498,2.57723956,0.83678715,21.56600942,17360,1008,0.4134127,0.05806452,4657,0.0894825,1228,250,50.20080321,1.66688,0.50200803,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_DV,Ad2,"New Sales Ad - Copy","2025-06-16 - 2025-06-22",1374,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_ABO,Prospecting_LLA_QApps_1%,"Image_AllPlacements_Static - Copy 3","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,100,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ISA_Scale,01_Prospecting_Broad_ISA_Scale,03_Video_ISA_PauEscuelaTech,"2025-06-16 - 2025-06-22",289,Diario,"Con el presupuesto de la campaña",,739.36,Application,10,73.936,10,14,77224,98495,249,0.25280471,2.96931727,7.50657394,80900,1432,0.51631285,0.01770087,15752,0.04693753,1114,199,79.91967871,3.71537688,0.79919679,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_AI,"New Sales Ad - Copy","2025-06-16 - 2025-06-22",1654,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_DV,AWS,"New Sales Ad - Copy","2025-06-16 - 2025-06-22",1374,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion,"LAA - All Leads",Generic_UX,"2025-06-16 - 2025-06-22",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AI,Ad1,"New Sales Ad - Copy","2025-06-16 - 2025-06-22",2808,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion,"All - Web Application",MarcosFranz,"2025-06-16 - 2025-06-22",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AI,Ad3,"New Sales Ad","2025-06-16 - 2025-06-22",2808,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,11_Broad_ISA_ElenaF2F,13_Video_ISA_ElenaF2F,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,86,Diario,0,"All Leads",,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests_Python,Video_AllPlacements_Static_Ellie_ML,"2025-06-16 - 2025-06-22",2485,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_ABO_SummerCampaign_July2024,Prospecting_LLA_BST_1-2,Image_Story_Static_SillaOficina,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,25,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_Python,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion,RTG,Generic_All,"2025-06-16 - 2025-06-22",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Prospecting - Banners","AISchool_AIProducts - Copy 2","2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_DV,Ad4,"New Sales Ad","2025-06-16 - 2025-06-22",1560,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion,"LAA - Web Application",MarcosFranz,"2025-06-16 - 2025-06-22",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_CBO_BackToSchool_2024,Prospecting_FBAudience_Interests,Image_AllPlacements_Static_LuisCamarero,"2025-06-16 - 2025-06-22",105,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ES,Prospecting,VictoriaMateucci_AllCourses_ES_Prospecting_AllPlacements_Video,"2025-06-16 - 2025-06-22",44,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_WD_ES,courses_stories,courses3stories,"2025-06-16 - 2025-06-22",27,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ML,Analytics,"DataScience_EN_Prospecting_AllPlacements_Video - Copy","2025-06-16 - 2025-06-22",686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Leads_EN_UX_ShortCourse,"Web Design","New Sales Ad","2025-06-16 - 2025-06-22",1500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion,"LAA - All Leads",Andreina,"2025-06-16 - 2025-06-22",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Spain_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_AIProducts - Copy","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_MKT_EN_ABO,Prospecting_FBAudience_Interests_DigitalMarketing,Video_AllPlacements_Static_2409,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,70,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Influencer_ES,Courses,MarcosFranz,"2025-06-16 - 2025-06-22",80,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,IT,"AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy 3","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_Summer,"LAA 1% BST",SummerCampaign_Silla2,"2025-06-16 - 2025-06-22",15,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Leads_LeadGenPersonalityQuiz,01_Prospecting_LLA2_BST,02_Video_Animation,"2025-06-16 - 2025-06-22",720,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,Programs,AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_WD_ES,jh+cd_stories,jh+cd1stories,"2025-06-16 - 2025-06-22",27,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_Python,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_MK_LastCall,01_Prospecting_Broad,03_Image_Boy,"2025-06-16 - 2025-06-22",60,Diario,"Con el presupuesto de la campaña",,162.82,Application,2,81.41,2,4,2392,4400,296,6.72727273,0.55006757,37.00454545,,,,,,,,133,44.93243243,1.22421053,0.44932432,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"LAA - Banners",AISchool_Python,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ES,"LLA - All Leads","ISA_AllCourses_ES_LookalikeAudience_AllPlacements_Video - Copy 2","2025-06-16 - 2025-06-22",44,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AI,Ad2,"New Sales Ad - Copy","2025-06-16 - 2025-06-22",1509,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,Productivity,"AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy 3","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_InformationTech,Video_AllPlacements_Static_Ellie_AI,"2025-06-16 - 2025-06-22",1654,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
