"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"All Leads",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Reproducciones de vídeo",ThruPlays,"Coste por ThruPlay","ThruPlay / Video Plays Conversion Rate","Reproducciones de vídeo de 3 segundos","Coste por reproducción de video de 3 segundos","Reproducciones de vídeo hasta el 50 %","Visitas a la página de destino","Porcentaje de visitas a la página de destino por clics en el enlace","Coste por visita a la página de destino","Landing page views / Link clicks Conversion Rate","Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Prospecting_1Year_EN_ABO_Merge,08_Prospecting_Broad,03_Video_Rika_Oct,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,181,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Marta_July24,"2025-06-16 - 2025-06-22",104,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP,Prospecting_LLA_BST_2,AllPlacements_Static,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,20,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - BST 1% - Pau",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_Pau,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,20,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,Prospecting_Broad_EN,10VID_h1_UProbablyHeardAI,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,107,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_AI,Image_AllPlacements_Static_15off,"2025-06-16 - 2025-06-22",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Conversion_EN_Data,"LAA - Data",AverageSalary_DA_EN_Lookalike_AllPlacements_Carousel,"2025-06-16 - 2025-06-22",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Conversion_DV,Ad2,"New Sales Ad - Copy 2","2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - LLA - Image",BG_AllCourses_EN_Lookalike_AllPlacements_StaticBanner_LevelUpYourCareer,"2025-06-16 - 2025-06-22",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
"RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP - NO",Prospecting_FBAudience_Interests,AllPlacements_Static,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,23,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
